"Questão 1: (Unesp) A respeito da independência do Brasil,
pode-se afirmar que:","a) consubstanciou os ideais propostos na
Confederação do Equador.","b) instituiu a monarquia como forma de governo, a
partir de amplo movimento popular.","c) propôs, a partir das idéias liberais das elites
políticas, a extinção do tráfico de escravos,
contrariando os interesses da Inglaterra.","d) provocou, a partir da Constituição de 1824,
profundas transformações na estruturas econômicas
e sociais do País.","e) implicou na adoção da forma monárquica de
governo e preservou os interesses básicos dos
proprietários de terras e de escravos.",e
"Questão 2: (Fuvest) Ao proclamarem a sua independência, as
colônias espanholas da América optaram pelo regime
republicano, seguindo o modelo norte-americano. O
Brasil optou pelo regime monárquico:","a) pela grande popularidade desse sistema de
governo entre os brasileiros.","b) porque a República traria forçosamente a abolição
da escravidão, como ocorrera quando da
proclamação da independência dos Estados Unidos.","c) como conseqüência do processo político
desencadeado pela instalação da corte portuguesa na
colônia.","d) pelo fascínio que a pompa e o luxo da corte
monárquica exerciam sobre os colonos.","e) em oposição ao regime republicano português
implantado pelas cortes.",a
"Questão 3:  (Cesgranrio) A concretização da emancipação
política do Brasil, em 1822, foi seguida de
divergências entre os diversos setores da sociedade,
em torno do projeto constitucional, culminando com o
fechamento da Assembléia Constituinte.
Assinale a opção que relaciona corretamente os
preceitos da Constituição Imperial com as
características da sociedade brasileira:","a) A autonomia das antigas Capitanias atendia aos
interesses das oligarquias agrárias.","b) O Poder Moderador conferia ao Imperador a
proeminência sobre os demais Poderes.","c) A abolição do Padroado, por influência liberal,
assegurou ampla liberdade religiosa.","d) A abolição progressiva da escravidão, proposta de
José Bonifácio, foi uma das principais razões da
oposição ao Imperador D. Pedro I.","e) A introdução do sufrágio universal permitiu a
participação política das camadas populares,
provocando rebeliões em várias partes do país.",e
"Questão 4:  (Faap) Nas lutas conhecidas como Guerras da
Independência e no reconhecimento externo da
Independência, o Brasil foi auxiliado pelo(a):",a) França,b) Espanha,c) Itália,d) Estados Unidos,e) Inglaterra,e
"Questão 5:  (Faap) O fuzilamento de Frei Caneca está ligado
ao seguinte fato da História do Brasil:",a) Inconfidência Mineira,b) Confederação do Equador,c) Revolta dos Canudos,d) A Praieira,e) Revolução Farroupilha,d
"Questão 6:  (Uel) A Confederação do Equador, em 1824, se
caracterizou como um movimento de",a) emancipação política de Portugal.,b) oposição à Abertura dos Portos.,c) garantia à política inglesa.,d) apoio aos atos do imperador.,e) reação à política imperial.,b
"Questão 7:  (Ufmg) A opção pelo regime monárquico no
Brasil, após a Independência, pode ser explicada","a) pela atração que os títulos nobiliárquicos exerciam
sobre os grandes proprietários rurais.","b) pela crescente popularidade do regime monárquico
entre a elite colonial brasileira.","c) pela pressão das oligarquias aliadas aos
interesses, da Inglaterra e pela defesa da entrada de
produtos manufaturados.","d) pelo temor aos ideais abolicionistas defendidos
pelos republicanos nas Américas.","e) pelas transformações ocorridas com a instauração
da Corte Portuguesa no Brasil e pela elevação do
país a Reino Unido.",d
"Questão 8:  (Udesc) Durante o processo de Independência do
Brasil, na segunda década do século XIX, houve
resistência e luta armada em diversas regiões.
Assinale a ÚNlCA alternativa que indica onde ocorreu
derramamento de sangue nesse período, pela
conquista da emancipação política:","a) São Paulo, Minas Gerais e Rio de Janeiro","b) Paraná, Santa Catarina e Rio Grande do Sul","c) Goiás, Mato Grosso e Tocantins","d) Bahia, Maranhão e Pará","e) Alagoas, Pernambuco e Ceará.",d
"Questão 9:  (Fuvest) O reconhecimento da independência
brasileira por Portugal foi devido principalmente:","a) à mediação da França e dos Estados Unidos e à
atribuição do título de Imperador Perpétuo do Brasil a
D.João VI.","b) à mediação da Espanha e à renovação dos
acordos comerciais de 1810 com a Inglaterra.","c) à mediação de Lord Strangford e ao fechamento
das Cortes Portuguesas.","d) à mediação da Inglaterra e à transferência para o
Brasil de dívida em libras contraída por Portugal no
Reino Unido.","e) à mediação da Santa Aliança e ao pagamento à
Inglaterra de indenização pelas invasões
napoleônicas.",b
"Questão 10:  (Mackenzie) Relativamente ao Primeiro Reinado,
considere as afirmações a seguir.
I - A dissolução da Constituinte, o estilo de governo
autoritário e a repressão à Confederação do Equador
aceleraram o desgaste político de Pedro I.
II - O temor de uma provável recolonização, caso
fosse restabelecida a união com Portugal, aprofundou
os atritos entre brasileiros e portugueses.
III - O aumento das exportações agrícolas, a
estabilidade da moeda e a redução do endividamento
externo foram os pontos favoráveis do governo de
Pedro I.
IV - A cúpula do exército, descontente com a derrota
militar na Guerra Cisplatina, aderiu à revolta, que
culminou na Abdicação do Imperador.","Então:
a) todas estão corretas.",b) todas são falsas.,c) apenas I e II estão corretas.,"d) apenas I , II e IV estão corretas.",e) apenas III está correta.,c
"Questão 11: (Fuvest) Qual o papel conferido ao Imperador pela
Constituição de 1824?",a) Subordinação ao poder legislativo.,"b) Instrumento da descentralização político-
administrativa.",c) Chave de toda a organização política.,d) Articulador da extinção do Padroado.,e) Liderança do Partido Liberal.,d
"Questão 12: (Cesgranrio) ""Usando do direito que a
Constituição me concede, declaro que hei de muito
voluntariamente abdicado na pessoa de meu mui
amado e prezado filho o Sr. D. Pedro de Alcântara.
Boa Vista - 7 de abril de 1831, décimo da
Independência e do Império - D. Pedro I.""
Nesses termos, D. Pedro I abdicou ao trono brasileiro
no culminar de uma profunda crise, que NÃO se
caracterizou por:","a) antagonismo entre o Imperador e parte da
aristocracia rural brasileira.","b) empréstimos externos para cobrir o déficit público
gerado, em grande parte, pelo aparelhamento das
forças militares.","c) aumento do custo de vida, diminuição das
exportações e aumento das importações.","d) pressão das elites coloniais que queriam o fim do
Império e a implantação de uma República nos
moldes dos Estados Unidos.","e) conflitos entre o Partido Brasileiro e o Partido
Português e medo da recolonização.",b
"Questão 13: (Mackenzie) São fatores que levaram os E.U.A. a
reconhecerem a independência do Brasil em 1824:","a) Doutrina Monroe (América para os americanos) e
os fortes interesses econômicos emergentes nos
E.U.A. .","b) A aliança dos capitais ingleses e americanos
interessados em explorar o mercado brasileiro e a
crescente expansão do mercado da borracha.","c) A indenização de 2 milhões de libras pagos pelo
Brasil ao governo americano e a Doutrina Truman.","d) A subordinação econômica à Inglaterra e o
interesse de aliar-se ao governo constitucional de D.
João VI.","e) A identificação com a forma de governo adotada no
Brasil e interesses coloniais comuns.",e
"Questão 14: (Mackenzie) A Confederação do Equador,
movimento que eclodiu em Pernambuco em julho de
1824, caracterizou-se por:","a) ser um movimento contrário às medidas da Corte
Portuguesa, que visava favorecer o monopólio do
comércio.","b) uma oposição a medidas centralizadoras e
absolutistas do Primeiro Reinado, sendo um
movimento republicano.","c) garantir a integridade do território brasileiro e a
centralização administrativa.","d) ser um movimento contrário à maçonaria, clero e
demais associações absolutistas.","e) levar seu principal líder, Frei Joaquim do Amor
Divino Caneca, à liderança da Constituinte de 1824.",d
"Questão 15: (Mackenzie) O episódio conhecido como ""A Noite
das Garrafadas"", briga entre portugueses e
brasileiros, relaciona-se com:","a) a promulgação da Constituição da Mandioca pela
Assembléia Constituinte.","b) a instituição da Tarifa Alves Branco, que
aumentava as taxas de alfândega, acirrando as
disputas entre portugueses e brasileiros.","c) o descontentamento da população do Rio de
Janeiro contra as medidas saneadoras de Oswaldo
Cruz.","d) a manifestação dos brasileiros contra os
portugueses ligados à sociedade ""Colunas do Trono""
que apoiavam Dom Pedro I.","e) a vinda da Corte Portuguesa e o confisco de
propriedades residenciais para alojá-la no Brasil.",c
"Questão 16: (Unesp) Em troca do reconhecimento de sua
independência por parte da Inglaterra, o Brasil
assinou um tratado em 1826, incluindo cláusulas para
por termo:",a) ao tráfico negreiro.,b) ao tratado comercial de 1810.,c) à escravidão africana.,d) à autonomia municipal.,e) ao pacto colonial.,a
"Questão 17: (Ufrs) Um projeto alternativo ao Estado Nacional
Brasileiro estabelecido pela Carta Constitucional de
1824 e defendido na Guerra dos Farrapos apresentou
a","a) concentração do poder no Imperador e no
Conselho de Estado.",b) instalação de uma República.,c) instauração de uma Monarquia Constitucional.,d) criação de uma Assembléia Nacional Popular.,"e) organização de Comitês Revolucionários para
sustentar o governo.",c
"Questão 18: (Cesgranrio) A Constituição imperial brasileira,
promulgada em 1824, estabeleceu linhas básicas da
estrutura e do funcionamento do sistema político
imperial tais como o(a):","a) equilíbrio dos poderes com o controle
constitucional do Imperador e as ordens sociais
privilegiadas.","b) ampla participação política de todos os cidadãos,
com exceção dos escravos.","c) laicização do Estado por influência das idéias
liberais.","d) predominância do poder do imperador sobre todo o
sistema através do Poder Moderador.","e) autonomia das Províncias e, principalmente, dos
Municípios, reconhecendo-se a formação
regionalizada do país.",d
"Questão 19: (Ufrs) Sobre o processo de emancipação política
do Brasil em 1822, considere as afirmativas a seguir.
I - Para a aristocracia brasileira era fundamental que
o governo do Brasil emancipado mantivesse o
escravismo e as relações com a Inglaterra.
II - Pedro I negou publicamente sua disposição de
indenizar Portugal pela separação, mas assinou o
compromisso que estabelecia o Tratado de Paz e
Aliança.
III - O Tratado de Paz com Portugal manteve a
Província Cisplatina sob controle português.
Quais estão corretas?",a) Apenas I.,b) Apenas II.,c) Apenas III.,d) Apenas I e II.,"e) I, II e III.",e
"Questão 20: (Fgv) No Brasil, durante o Primeiro Império, a
situação financeira era precária, pelo fato de que:","a) o comércio de importação entrou em colapso com
a vinda da Família Real (1808)","b) os Estados Unidos faziam concorrência aos nossos
produtos, especialmente o açúcar","c) os principais produtos de exportação - açúcar e
algodão - não eram suficientes para o equilíbrio da
balança comercial do país","d) o capitalismo inglês se recusava a fornecer
empréstimos para a agricultura","e) o sistema bancário era praticamente inexistente, só
tendo sido fundado o Banco do Brasil em 1850.",d
"Questão 21: (Cesgranrio) Assinale a opção que apresenta um
fato que caracterizou o processo de reconhecimento
da Independência do Brasil pelas principais potências
mundiais:","a) Reconhecimento pioneiro dos Estados Unidos,
impedindo a intervenção da força da Santa Aliança no
Brasil.","b) Reconhecimento imediato da Inglaterra,
interessada exclusivamente no promissor mercado
brasileiro.","c) Desconfiança dos brasileiros, reforçada após o
falecimento de D. João VI, de que o reconhecimento
reunificaria os dois reinos.","d) Reação das potências européias às ligações
privilegiadas com a Áustria, terra natal da Imperatriz.","e) Expectativa das potências européias, que
aguardavam o reconhecimento de Portugal, fiéis à
política internacional traçada a partir do Congresso de
Viena.",c
"Questão 22: (Unirio) As relações do Brasil com a Inglaterra
constituíram-se num dos principais problemas da
política externa do Império, como se observa no(a):","a) apoio da Inglaterra a Portugal, seu tradicional
aliado, nas Guerras de Independência.","b) conflito decorrente das restrições alfandegárias
impostas por D. Pedro I aos ingleses.","c) participação dominante de capitais ingleses no
financiamento da expansão cafeeira.","d) concordância inglesa em relação ao
expansionismo imperial na Cisplatina.","e) oposição da Inglaterra, país pioneiro no
desenvolvimento industrial, ao tráfico negreiro.",a
"Questão 23: (Fuvest) No tocante à economia açucareira do
Brasil, ao longo do século XIX, podemos afirmar que","a) praticamente desapareceu, pois o café se tornou o
produto quase exclusivo das exportações.","b) regrediu consideravelmente devido à concorrência
norte-americana e à introdução do açúcar de
beterraba na Europa.","c) conheceu um relativo renascimento, graças ao fim
da exploração em grande escala de metais preciosos
que drenava todos os recursos.","d) ficou estagnada, acompanhando o baixo nível das
atividades econômicas em declínio após o fim da
exploração de metais preciosos em grande escala.","e) regrediu consideravelmente devido à concorrência
antilhana e à introdução de açúcar de beterraba na
Europa.",b
"Questão 24: (Fuvest) Sobre a dívida pública externa do Brasil
independente, é certo afirmar que começou a ser
contraída","a) nos primeiros anos da República, por iniciativa do
Ministro da Fazenda Ruy Barbosa, preocupado com a
escassez monetária.","b) por ocasião da Guerra do Paraguai, para financiar
os enormes gastos decorrentes do conflito.","c) logo após a Independência, destinando-se o
primeiro empréstimo a indenizar Portugal pela perda
da colônia.","d) quando se implantaram os primeiros planos de
valorização do café, a partir do convênio firmado em
Taubaté, em 1906.","e) logo após a Revolução de 1930, a fim de se
enfrentar o abalo financeiro resultante da crise de
1929.",c
"Questão 25: (Unesp) Assinale a alternativa que indica um
movimento separatista ocorrido no período do Império
brasileiro que incorporou o ideal republicano.",a) Confederação do Equador.,b) Revolta de Beckman.,c) Inconfidência Mineira.,d) Canudos.,e) Conjuração Baiana.,a
"Questão 26: (Ufpe) Qual das alternativas a seguir contém as

atividades produtivas que mais utilizaram a mão-de-
obra escrava nos períodos Colonial e Imperial, no

Brasil?","a) Cultura de subsistência nas colônias de parceria,
na região Sul, e criação de gado nas terras gaúchas.","b) Extração de pau-brasil, culturas do fumo e do
algodão.","c) Produção de açúcar, cultura do café e mineração.",d) Pecuária e mineração.,"e) Comércio, construção de estradas de ferro e
produção de açúcar.",c
"Questão 27: Defina o Período do Brasil chamo de ""Brasil Império"".",a) Um período em que o Brasil foi governado por líderes indígenas antes da chegada dos portugueses.,b)( ) Uma época marcada pela colonização portuguesa e exploração das riquezas naturais do Brasil.,"c) ( ) O período da história brasileira em que o país foi uma monarquia, governado por imperadores, entre 1822 e 1889.","d) ( ) A fase da história brasileira em que o Brasil adotou o regime republicano, com presidentes eleitos pelo povo.",e) Saga após derrota do Majin Boo,c
"Questão 28: (Unesp) Assinale a alternativa que indica um
movimento separatista ocorrido no período do Império
brasileiro que incorporou o ideal republicano.",a) Confederação do Equador.,b) Revolta de Beckman.,c) Inconfidência Mineira.,d) Canudos.,e) Conjuração Baiana.,A
"Questão 29: (Fatec) O Ato Adicional de 1834 foi de importância
significativa para o Brasil porque","a) restaurou a paz no Império, tendo em vista o
término das rebeliões no Nordeste do País.","b) possibilitou a tomada do poder pelos
conservadores que formavam a aristocracia rural.","c) antecipou a maioridade de D. Pedro I, evitando,
assim, um golpe de Estado dos conservadores.","d) ampliou a autonomia das províncias, neutralizando
a tendência centralizadora do Primeiro Reinado.","e) limitou os poderes excessivos das Câmaras
Municipais, que poderiam dividir a Nação.",D
